모델명,언어유창성,문법,담화조절,문화맥락,지식정확성,추론,정보검색,형식준수,번역,방언,코딩,도구사용,안전성
42dot_LLM,0.130,0.070,0.152,0.136,0.096,0.108,0.073,0.170,0.034,0.076,0.000,0.000,
ChatGPT(GPT-3.5),0.221,0.135,0.149,0.192,0.234,0.162,0.188,0.344,0.000,0.076,0.000,0.000,
Bard,0.348,0.380,0.340,0.411,0.265,0.256,0.021,0.370,0.205,0.076,0.000,0.000,
뤼튼(GPT-3.5),0.205,0.188,0.340,0.147,0.264,0.183,0.188,0.372,0.205,0.076,0.000,0.000,
KULLM(구름) 5.8B,0.144,0.093,0.081,0.192,0.185,0.105,0.188,0.187,0.068,0.833,0.000,0.000,
ChatGPT(GPT-4),0.339,0.188,0.340,0.464,0.298,0.280,0.106,0.372,0.205,0.076,0.000,0.000,
Bing 채팅,0.249,0.188,0.237,0.263,0.216,0.119,0.134,0.366,0.068,0.879,0.000,0.000,
CLOVA X,0.437,0.188,0.237,0.642,0.281,0.215,0.188,0.365,0.068,0.924,0.000,0.000,
Claude 2,0.307,0.188,0.340,0.205,0.264,0.234,0.188,0.350,0.538,0.076,0.000,0.000,
perplexity,0.329,0.087,0.054,0.480,0.170,0.251,0.170,0.149,0.175,0.076,0.000,0.000,
Solar-Mini,0.193,0.188,0.208,0.218,0.199,0.224,0.188,0.147,0.402,0.076,0.000,0.000,
Claude 3 Opus,0.427,0.188,0.340,0.489,0.349,0.364,0.480,0.332,0.538,0.076,0.000,0.000,
Meta-Llama-3-70B-Instruct,0.206,0.070,0.226,0.213,0.163,0.174,0.161,0.182,0.334,0.076,0.000,0.000,
Meta-Llama-3-70B-Instruct (시스템 프롬프트 사용),0.219,0.188,0.311,0.385,0.252,0.234,0.188,0.188,0.341,0.076,0.000,0.000,
ChatGPT 4o,0.450,0.188,0.340,0.489,0.400,0.283,0.508,0.365,0.538,0.076,0.000,0.000,
Meta-Llama-3-8B-Instruct-GGUF,0.205,0.070,0.043,0.219,0.086,0.155,0.042,0.139,0.137,0.864,0.000,0.000,
Phi 4 (Q4),0.182,0.188,0.169,0.227,0.278,0.283,0.188,0.165,0.242,0.076,0.000,0.000,
Gemini 1.5 Pro,0.478,0.188,0.340,0.642,0.338,0.215,0.508,0.343,0.379,0.924,0.000,0.000,
Phi 4 (FP16),0.172,0.281,0.124,0.137,0.264,0.256,0.188,0.170,0.242,0.076,0.000,0.000,
ChatGPT o1-mini,0.321,0.188,0.237,0.342,0.326,0.302,0.188,0.364,0.242,0.076,0.000,0.000,
ChatGPT 4o mini,0.301,0.188,0.340,0.279,0.440,0.358,0.508,0.372,0.379,0.076,0.000,0.000,
Qwen2.5-14B-Instruct-GGUF,0.267,0.516,0.334,0.213,0.249,0.227,0.188,0.246,0.288,0.076,0.000,0.000,
DeepSeek-R1-Distill-Qwen-14B-GGUF,0.223,0.571,0.169,0.242,0.244,0.227,0.188,0.136,0.167,0.833,0.000,0.000,
DeepSeek-V3,0.355,0.188,0.340,0.489,0.230,0.283,0.188,0.179,0.538,0.076,0.000,0.000,
